City,State,WOEID,latitude,longitude
New York, New York,2459115,40.7127281,-74.0060152
Los Angeles, California,2442047,34.0536909,-118.2427666
Chicago, Illinois,2379574,41.8755616,-87.6244212
Houston, Texas,2424766,29.7589382,-95.3676974
Phoenix, Arizona,2471390,33.4484367,-112.0741417
Philadelphia, Pennsylvania,2471217,39.9527237,-75.1635262
San Antonio, Texas,2487796,29.4246002,-98.4951405
Dallas, Texas,2388929,32.7762719,-96.7968559
San Diego, California,2487889,32.7174209,-117.1627714
San Jose, California,2488042,37.3361905,-121.8905833
Detroit, Michigan,2391585,42.3315509,-83.0466403
San Francisco, California,2487956,37.7790262,-122.4199061
Jacksonville, Florida,2428344,30.3321838,-81.655651
Indianapolis, Indiana,2427032,39.7683331,-86.1583502
Austin, Texas,2357536,30.2711286,-97.7436995
Columbus, Ohio,2383660,39.9622601,-83.0007065
Fort Worth, Texas,28340407,32.753177,-97.3327459
Charlotte, North Carolina,2378426,35.2270869,-80.8431268
Memphis, Tennessee,2449323,35.1490215,-90.0516285
Baltimore, Maryland,2358820,39.2908816,-76.610759
Boston, Massachusetts,2367105,42.3602534,-71.0582912
El Paso, Texas,2397816,31.7754152,-106.4646348
Milwaukee, Wisconsin,2451822,43.0349931,-87.922497
Denver, Colorado,2391279,39.7392364,-104.9848623
Seattle, Washington,2490383,47.6038321,-122.3300624
Nashville, Tennessee,2457170,36.1622296,-86.7743531
Washington, District of Columbia,2514815,38.8948932,-77.0365529
Las Vegas, Nevada,2436704,36.1672559,-115.1485163
Portland, Oregon,2475687,45.5202471,-122.6741949
Louisville, Kentucky,2442327,38.2542376,-85.759407
Oklahoma City, Oklahoma,2464592,35.4729886,-97.5170536
Tucson, Arizona,2508428,32.2228765,-110.9748477
Atlanta, Georgia,2357024,33.7490987,-84.3901849
Albuquerque, New Mexico,2352824,35.0841034,-106.6509851
Kansas City, Missouri,2430683,39.100105,-94.5781416
Fresno, California,2407517,36.7295295,-119.70886126075588
Sacramento, California,2486340,38.5815719,-121.4943996
Long Beach, California,2441472,33.7690164,-118.1916048
Mesa, Arizona,2449808,33.4151117,-111.8314773
Omaha, Nebraska,2465512,41.2587459,-95.9383758
Cleveland, Ohio,2381475,41.5051613,-81.6934446
Virginia Beach, Virginia,2512636,36.8529841,-75.9774183
Miami, Florida,2450022,25.7742658,-80.1936589
Oakland, California,2463583,37.8044557,-122.2713563
Raleigh, North Carolina,2478307,35.7803977,-78.6390989
Tulsa, Oklahoma,2508533,36.1556805,-95.9929113
Minneapolis, Minnesota,2452078,44.9772995,-93.2654692
Colorado Springs, Colorado,2383489,38.8339578,-104.8253485
Honolulu, Hawaii,2423945,21.304547,-157.8556764
Arlington, Texas,2355944,32.701938999999996,-97.10562379033699
Wichita, Kansas,2520077,37.6922361,-97.3375448
St. Louis, Missouri,2486982,38.6529545,-90.24111656024635
Tampa, Florida,2503863,27.9477595,-82.458444
Santa Ana, California,2488802,33.7494951,-117.8732213
New Orleans, Louisiana,2458833,29.9499323,-90.0701156
Anaheim, California,2354447,33.8347516,-117.911732
Cincinnati, Ohio,2380358,39.1014537,-84.5124602
Bakersfield, California,2358492,35.3738712,-119.0194639
Aurora, Colorado,2357473,39.729432,-104.8319196
Pittsburgh, Pennsylvania,2473224,40.4416941,-79.9900861
Riverside, California,2482128,33.9533546,-117.3961623
Toledo, Ohio,2506911,41.6786754,-83.5127283
Stockton, California,2500105,37.9577016,-121.2907796
Corpus Christi, Texas,2385304,27.7477253,-97.4014129
Lexington, Kentucky,2438841,38.0464066,-84.4970393
St. Paul, Minnesota,2487129,44.9504037,-93.1015026
Anchorage, Alaska,2354490,61.2163129,-149.8948523
Newark, New Jersey,2459269,40.735657,-74.1723667
Buffalo, New York,2371464,42.8867166,-78.8783922
Plano, Texas,2473475,33.0136764,-96.6925096
Henderson, Nevada,2419946,36.0301134,-114.9826194
Lincoln, Nebraska,2439482,40.8088861,-96.7077751
Fort Wayne, Indiana,2406008,41.0799898,-85.1386015
Glendale, Arizona,2411084,33.5386858,-112.1859941
Greensboro, North Carolina,2414469,36.0726355,-79.7919754
Chandler, Arizona,2378015,33.3062223,-111.8413317
St. Petersburg, Florida,2487180,27.7703796,-82.6695085
Jersey City, New Jersey,2429187,40.7281575,-74.0776417
Scottsdale, Arizona,2490057,33.4942189,-111.9260184
Norfolk, Virginia,2460389,36.8462923,-76.2929252
Madison, Wisconsin,2443945,43.074761,-89.3837613
Orlando, Florida,2466256,28.5421109,-81.3790304
Birmingham, Alabama,2364559,33.5206824,-86.8024326
Baton Rouge, Louisiana,2359991,30.4459596,-91.18738
Durham, North Carolina,2394734,35.996653,-78.9018053
Laredo, Texas,2436565,27.5199841,-99.4953764
Lubbock, Texas,2442818,33.5635206,-101.879336
Chesapeake, Virginia,2379200,36.7183708,-76.2466798
Chula Vista, California,2380213,32.6400541,-117.0841955
Garland, Texas,2408976,32.912624,-96.6388833
Winston-Salem, North Carolina,2522292,36.0998131,-80.2440518
North Las Vegas, Nevada,2461253,36.2005843,-115.1215844
Reno, Nevada,2480201,39.5261206,-119.8126581
Gilbert, Arizona,2410128,33.3527632,-111.7890373
Hialeah, Florida,2420610,25.8575963,-80.2781057
Arlington, Virginia,2355942,38.8903961,-77.0841585
Akron, Ohio,2352491,41.083064,-81.518485
Irvine, California,2427665,33.6856969,-117.8259819
Rochester, New York,2482949,43.157285,-77.615214
Boise, Idaho,2366355,43.6166163,-116.200886
Modesto, California,2452629,37.6390972,-120.9968782
Fremont, California,2407405,37.5482697,-121.9885719
Montgomery, Alabama,2453369,32.3669656,-86.3006485
Spokane, Washington,2497646,47.6579425,-117.4212265
Richmond, Virginia,2480894,37.5385087,-77.43428
Yonkers, New York,2524811,40.9312099,-73.8987469
Irving, Texas,2427690,32.8295183,-96.9442177
Shreveport, Louisiana,2493227,32.5221828,-93.7651944
San Bernardino, California,2487870,34.8253019,-116.0833144
Tacoma, Washington,2503523,47.2495798,-122.4398746
Glendale, California,2411009,34.1469416,-118.2478471
Des Moines, Iowa,2391446,41.5910641,-93.6037149
Augusta, Georgia,2357383,33.4709714,-81.9748429
Grand Rapids, Michigan,2412843,42.9632405,-85.6678639
Huntington Beach, California,2425873,33.6783336,-118.0000166
Mobile, Alabama,2452537,30.6943566,-88.0430541
Moreno Valley, California,2453984,33.937517,-117.2305944
Little Rock, Arkansas,2440351,34.7464809,-92.2895948
